 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
1,slice2-100um-glutamate.lif - Series008:0001-0148-0747:z:1/23 - Series008,0.455,134.556,57.000,203.568,134.830,26.741,-67.380,2.428
2,slice2-100um-glutamate.lif - Series008:0001-0122-0734:z:1/23 - Series008,1.041,123.359,72.000,202.821,132.350,21.961,-52.765,5.538
3,slice2-100um-glutamate.lif - Series008:0001-0756-0577:z:1/23 - Series008,0.586,105.368,42.000,150.190,104.167,136.454,64.983,2.986
4,slice2-100um-glutamate.lif - Series008:0001-0776-0569:z:1/23 - Series008,0.521,165.775,34.000,250.500,102.633,140.061,78.690,2.759
5,slice2-100um-glutamate.lif - Series008:0001-0815-0554:z:1/23 - Series008,0.553,135.056,48.000,230.750,99.928,146.961,64.983,2.904
6,slice2-100um-glutamate.lif - Series008:0001-0667-0542:z:1/23 - Series008,0.618,152.795,64.500,246.493,97.628,120.265,96.710,3.168
7,slice2-100um-glutamate.lif - Series008:0001-0888-0486:z:1/23 - Series008,0.618,171.560,75.901,251.000,87.753,160.263,73.610,3.196
8,slice2-100um-glutamate.lif - Series008:0009-0926-0498:z:9/23 - Series008,0.553,194.149,48.500,255.000,89.737,167.027,50.194,2.818
9,slice2-100um-glutamate.lif - Series008:0009-0726-0919:z:9/23 - Series008,0.423,105.573,81.250,158.750,165.765,130.817,-51.340,2.240
10,slice2-100um-glutamate.lif - Series008:0009-0749-0947:z:9/23 - Series008,0.488,127.171,68.000,180.143,170.815,135.191,-30.256,2.506
11,slice2-100um-glutamate.lif - Series008:0005-0743-0754:z:5/23 - Series008,0.748,149.354,38.500,255.000,135.958,133.974,64.654,3.913
12,slice2-100um-glutamate.lif - Series008:0005-0717-0770:z:5/23 - Series008,0.618,190.981,86.250,255.000,138.889,129.284,67.620,3.233
13,slice2-100um-glutamate.lif - Series008:0005-0831-0906:z:5/23 - Series008,0.521,134.329,57.000,219.880,163.375,149.937,-24.775,2.703
14,slice2-100um-glutamate.lif - Series008:0005-0823-0890:z:5/23 - Series008,0.358,108.262,59.000,147.375,160.399,148.359,-21.801,1.859
15,slice2-100um-glutamate.lif - Series001:0027-0062-0829:z:27/28 - Series001,1.724,162.271,54.333,255.000,149.471,11.183,57.529,9.407
16,slice2-100um-glutamate.lif - Series001:0027-0137-0786:z:27/28 - Series001,1.952,59.728,9.222,101.949,141.895,24.772,51.189,10.593
17,slice2-100um-glutamate.lif - Series001:0007-0923-0807:z:7/28 - Series001,0.716,97.161,58.667,132.411,145.683,166.607,-64.654,3.822
18,slice2-100um-glutamate.lif - Series001:0007-0899-0794:z:7/28 - Series001,0.618,89.843,55.556,122.476,143.338,162.278,-59.036,3.238
19,slice2-100um-glutamate.lif - Series001:0007-0958-0904:z:7/28 - Series001,0.716,119.445,50.111,212.324,163.179,172.860,0.000,3.850
20,slice2-100um-glutamate.lif - Series001:0001-0622-0349:z:1/28 - Series001,0.748,151.268,39.667,255.000,62.951,112.253,21.801,3.885
21,slice2-100um-glutamate.lif - Series006:0001-0780-0221:z:1/16 - Series006,1.399,154.695,65.667,253.014,39.923,140.873,-40.156,7.591
22,slice2-100um-glutamate.lif - Series006:0001-0655-0087:z:1/16 - Series006,1.171,78.058,29.585,161.340,15.633,118.206,70.560,6.390
23,slice2-100um-glutamate.lif - Series006:0001-0694-0080:z:1/16 - Series006,0.553,118.820,68.222,146.333,14.370,125.361,111.801,2.970
24,slice2-100um-glutamate.lif - Series006:0009-0701-0238:z:9/16 - Series006,0.748,158.448,53.000,253.444,43.050,126.563,-71.565,3.917
25,slice2-100um-glutamate.lif - Image005:0001-0609-0552:c:2/2 - Image005,0.683,2.476,0.956,5.333,99.627,110.029,-34.509,3.635
26,slice2-100um-glutamate.lif - Image007:0509-0355,1.041,118.127,25.000,182.814,64.093,91.991,-54.246,5.537
27,slice2-100um-glutamate.lif - Image007:0664-0847,1.497,107.122,27.667,254.638,152.838,119.889,9.039,8.027
28,slice2-100um-glutamate.lif - Image007:0661-0795,1.106,108.923,65.372,153.492,143.338,119.288,-14.036,5.950
29,slice2-100um-glutamate.lif - Series009:0001-0522-0460:z:1/28 - Series009,1.464,162.724,89.333,223.859,83.093,94.156,-27.150,7.852
30,slice2-100um-glutamate.lif - Series009:0001-0512-0237:z:1/28 - Series009,1.757,184.647,97.267,255.000,42.809,92.352,49.635,9.548
31,slice2-100um-glutamate.lif - Series009:0001-0919-0413:z:1/28 - Series009,1.041,172.629,38.667,252.461,74.435,165.825,82.405,5.578
32,slice2-100um-glutamate.lif - Series009:0001-0881-0613:z:1/28 - Series009,0.748,85.985,18.000,182.160,110.510,158.971,-56.310,4.003
33,slice2-100um-glutamate.lif - Series009:0014-0290-0381:z:14/28 - Series009,1.236,164.314,54.667,251.175,68.843,52.429,-17.447,6.657
34,slice2-100um-glutamate.lif - Series009:0014-0271-0325:z:14/28 - Series009,1.464,158.598,78.333,246.899,58.682,48.942,-20.854,7.995
35,slice2-100um-glutamate.lif - Series009:0014-0301-0955:z:14/28 - Series009,0.944,186.700,82.333,255.000,172.258,54.413,-53.531,5.075
